CustomerName	OrderDate	OrderValue
Dormer	2023-05-09T00:52:03Z	98.46
Duncan	2021-03-13T18:12:16Z	663.05
Dugget	2023-06-21T03:48:38Z	765.62
Titterington	2023-07-16T17:26:53Z	714.55
Bilton	2021-07-20T07:47:29Z	999.44
Bunclark	2021-11-25T21:18:32Z	74.57
Alders	2023-07-03T03:57:22Z	307.26
Rustman	2023-05-07T23:05:07Z	827.77
MacFaul	2021-08-14T22:43:15Z	189.03
Karlowicz	2022-06-21T13:30:26Z	196.75
Heaslip	2021-06-26T22:23:59Z	251.72
Retallack	2021-01-18T12:21:21Z	66.7
Checkley	2021-08-08T19:43:50Z	706.56
Gwinnel	2021-05-29T20:14:56Z	248.93
Curran	2023-07-13T02:34:19Z	770.45
Whitby	2022-07-05T06:38:53Z	956.38
Dormer	2022-05-10T09:30:36Z	755.19
Matushevich	2021-08-02T22:49:06Z	965.58
Normant	2021-08-18T13:33:06Z	887.61
Goodered	2021-08-30T11:16:47Z	536.15
Cropper	2023-01-03T09:38:20Z	234.57
Malling	2021-09-30T14:21:06Z	147.34
Willoway	2021-08-14T18:20:01Z	136.01
Grizard	2021-04-13T07:49:53Z	441.53
Croson	2022-10-21T14:15:01Z	708.09
Lealle	2023-07-14T16:18:56Z	98.03
Pratton	2022-11-01T23:13:55Z	666.74
Cossington	2022-10-15T13:00:40Z	21.2
MacWhan	2023-04-03T11:02:29Z	469.82
Whipp	2023-06-12T08:57:17Z	350.37
Biddleston	2021-12-17T11:25:08Z	993.78
Couchman	2023-05-16T07:13:10Z	520.22
Pratton	2021-07-01T05:11:54Z	340.65
Wharmby	2021-09-03T11:15:50Z	449.27
Murrigan	2022-11-04T10:13:06Z	938.63
Olman	2021-04-22T12:32:53Z	388.15
Ivankin	2022-10-22T15:50:30Z	715.99
Kaas	2022-02-22T00:33:56Z	365.29
Whitby	2023-06-30T02:49:08Z	266.53
Cropper	2023-10-30T14:57:19Z	474.88
Mabee	2021-07-24T03:28:38Z	133.23
O'Corr	2023-03-02T08:41:56Z	640.41
Van	2022-07-28T02:25:20Z	293.72
Episcopio	2022-03-21T18:02:55Z	248.71
Gothard	2021-12-16T04:45:32Z	528.98
Rustman	2021-04-19T18:47:59Z	956.61
Bawcock	2023-01-14T13:45:36Z	961.23
Lehrmann	2022-08-15T10:08:10Z	487.47
Karlowicz	2022-09-29T20:33:23Z	186.27
Stritton	2022-01-22T21:29:36Z	862.98
Inwood	2023-05-13T15:38:12Z	86.74
Stroyan	2022-06-11T14:27:31Z	718.93
Gwinnel	2023-10-22T15:51:54Z	824.82
Machel	2021-07-10T17:43:59Z	500.67
Elby	2021-10-19T11:28:38Z	148.49
Haddick	2021-01-11T22:21:16Z	961.58
MacCrackan	2022-03-29T22:08:20Z	49.75
Dyerson	2023-05-02T07:54:39Z	551.16
Alesin	2021-11-02T08:12:32Z	817.6
Scad	2022-05-25T16:57:21Z	649.65
Wake	2022-05-27T13:50:27Z	647.42
MacQueen	2022-11-20T18:08:09Z	639.68
Dugget	2023-05-08T08:20:57Z	380.62
Harbottle	2022-10-31T17:42:53Z	640.09
Dugget	2021-06-15T18:55:58Z	656.71
Foggarty	2021-02-28T14:21:27Z	579.87
Hartin	2023-07-19T13:22:37Z	90.25
Kernell	2023-01-02T17:04:35Z	705.09
Curran	2021-07-23T22:36:54Z	704.3
Ruppert	2022-06-19T23:17:57Z	269.64
Sporton	2021-08-19T11:09:38Z	334.68
Rivett	2021-05-14T03:02:27Z	360.94
Josowitz	2022-07-03T17:52:55Z	208.26
Gantzer	2022-01-14T06:18:42Z	429.51
Foggarty	2023-08-27T03:04:45Z	8.93
Werny	2021-11-20T23:47:16Z	54.35
Walton	2021-09-12T07:12:24Z	27.05
Garcia	2022-07-28T13:03:19Z	643.22
McCowen	2022-07-09T19:09:49Z	2.18
Duffil	2021-07-16T03:52:44Z	964.96
Vaughton	2021-10-28T11:19:41Z	655.01
Humbie	2023-08-26T13:57:53Z	364.43
Checkley	2021-06-14T22:05:15Z	596.08
Dreschler	2023-02-12T11:44:45Z	591.5
Harbottle	2023-07-11T17:42:00Z	734.51
Josowitz	2023-05-15T14:20:48Z	32.36
Ewbank	2023-04-30T09:22:51Z	478.44
Matushevich	2021-03-09T07:08:56Z	663.29
O'Bradane	2021-05-26T05:23:27Z	815.64
Stroyan	2023-03-17T03:19:29Z	743.72
Cahill	2021-06-08T09:33:49Z	789.94
Gowar	2021-10-23T08:35:24Z	295.97
Ivankin	2021-03-11T06:18:24Z	102.61
Bauchop	2021-06-28T21:31:10Z	119.66
Dooler	2021-01-06T10:27:28Z	408.59
Terlinden	2021-07-31T08:47:10Z	266.3
Pepper	2022-07-14T13:28:45Z	148.97
O'Bradane	2023-08-23T22:37:18Z	945.44
Rustman	2022-07-14T02:53:32Z	87.72
Wake	2023-08-17T23:30:31Z	28.07
Stroyan	2023-03-12T22:42:52Z	790.38
Gosker	2023-06-04T12:55:45Z	520.92
Sutehall	2023-07-11T04:04:33Z	859.28
Madeley	2023-06-29T18:43:58Z	580.82
Matveiko	2022-09-17T03:07:52Z	915.18
Gothard	2023-08-30T14:07:29Z	731.05
Rivett	2023-04-25T18:51:49Z	665.86
Vertey	2021-03-13T20:03:15Z	854.33
Adelberg	2021-05-30T08:29:08Z	22.64
McGeachey	2023-01-01T08:09:35Z	233.56
Duffil	2023-04-02T12:18:32Z	70.13
Gantzer	2021-09-09T20:54:22Z	147.15
Foggarty	2021-04-10T12:19:19Z	664.77
Gowling	2021-04-12T18:15:01Z	475.08
Cahill	2021-04-20T04:49:33Z	358.88
Narey	2023-01-03T17:32:32Z	426.13
Huniwall	2022-08-15T11:00:57Z	303.76
Sopp	2022-05-12T01:01:00Z	686.17
Vertey	2023-03-02T03:08:02Z	438.11
Proger	2023-04-11T21:03:46Z	197.83
Ellor	2021-04-06T07:53:33Z	263.17
Kemet	2022-12-24T11:40:50Z	622.59
Mordy	2023-06-21T21:01:13Z	443.08
Croson	2022-12-29T15:43:44Z	650.75
Ovitz	2022-02-07T02:46:41Z	389.48
Goodered	2022-08-30T21:29:12Z	95.56
Proger	2021-02-12T15:02:03Z	179.57
Chasle	2021-10-05T21:10:11Z	222.1
Benoey	2021-07-03T21:13:52Z	850.21
Coultas	2023-04-12T12:15:03Z	499.64
Cahill	2023-05-08T06:15:35Z	584.99
Harbottle	2021-04-07T05:51:52Z	77.82
Inwood	2023-05-03T21:01:36Z	855.76
Coulthard	2023-10-11T02:36:48Z	555.63
Rivett	2021-02-23T11:43:28Z	338.13
Jedrysik	2021-12-29T18:54:50Z	707.46
Fullick	2021-05-29T04:51:19Z	167.58
Sutehall	2023-09-06T09:43:02Z	879.66
Algore	2023-04-05T07:55:59Z	140.03
Horlock	2023-11-19T08:19:41Z	744.73
Retallack	2021-06-17T03:19:22Z	299.23
Duffil	2023-04-04T04:49:19Z	950.24
Djekovic	2023-04-06T22:25:59Z	662.74
Huniwall	2022-12-29T22:19:15Z	876.56
Bennison	2020-12-16T13:47:35Z	720.03
McGraw	2022-06-03T07:31:42Z	379.22
Youthed	2022-09-23T07:30:30Z	638.0
Shorton	2021-08-09T18:49:55Z	667.73
Kernell	2021-08-25T07:43:13Z	316.68
Brophy	2022-03-21T22:42:48Z	210.32
Cossington	2022-11-05T03:25:04Z	628.98
Couchman	2021-03-20T00:21:17Z	883.42
Whitby	2023-02-06T08:19:23Z	13.16
Brophy	2021-03-09T10:44:47Z	87.51
Batterbee	2021-11-18T16:01:31Z	555.0
Langridge	2023-01-28T02:08:28Z	853.95
Gianullo	2022-04-27T23:32:20Z	902.09
Colliford	2022-12-01T12:06:38Z	56.29
Dommerque	2022-09-10T05:24:34Z	501.36
Comolli	2022-04-20T00:21:00Z	412.07
Normant	2023-08-29T04:36:49Z	803.48
Retallack	2022-01-22T13:42:44Z	473.08
Gwinnel	2023-02-02T15:29:20Z	654.08
Sieve	2021-04-06T16:11:51Z	486.44
Renneke	2023-08-18T06:17:44Z	48.41
Shearmur	2022-09-09T23:03:49Z	46.97
Ovitz	2021-07-05T15:32:54Z	432.22
Duncan	2022-12-06T20:35:42Z	76.57
Rewan	2022-03-27T05:34:04Z	415.47
Karlowicz	2021-08-06T23:44:08Z	169.35
Picott	2023-03-31T03:15:27Z	154.37
Adelberg	2021-10-02T14:39:34Z	723.92
Gowar	2022-02-04T17:42:00Z	866.13
Normant	2022-03-14T01:14:16Z	240.8
Murrigans	2023-08-18T06:18:23Z	469.66
Gantzer	2022-04-30T06:08:12Z	707.04
Mussettini	2023-09-06T05:51:01Z	98.06
Ewbank	2022-02-10T18:35:58Z	474.54
Fright	2023-10-30T07:36:45Z	471.79
Colvin	2021-02-09T17:09:20Z	585.34
Pettican	2022-01-23T07:23:50Z	489.47
Molian	2021-02-09T22:04:45Z	759.81
Elby	2023-08-02T06:29:33Z	402.86
Pinwell	2020-12-16T15:51:37Z	100.99
Rogeron	2023-05-16T17:32:57Z	710.38
Colliford	2021-05-21T08:23:06Z	520.92
Ganforthe	2023-07-05T21:43:30Z	298.64
Hollington	2022-01-29T04:05:11Z	550.94
Redholes	2023-06-21T03:15:39Z	989.95
O'Corr	2021-08-20T09:38:38Z	591.21
Dyerson	2022-11-01T07:06:26Z	967.72
Olman	2023-01-20T18:14:15Z	273.28
Minihane	2022-06-06T16:59:51Z	552.44
Izakson	2023-08-01T23:23:30Z	272.41
Kemet	2023-02-10T12:19:44Z	947.62
Zarb	2023-01-22T06:40:57Z	888.8
Lintot	2021-07-02T05:00:46Z	631.14
Croson	2021-11-24T23:47:47Z	345.61
Murrigan	2022-10-10T02:38:12Z	692.4
Ivankin	2023-05-20T18:48:45Z	799.69
Elby	2022-11-20T07:31:29Z	596.33
Yeomans	2021-07-24T16:07:08Z	209.78
Howood	2022-02-12T01:50:04Z	259.51
Dommerque	2020-12-26T09:49:30Z	576.23
Gothard	2022-11-25T09:24:31Z	648.08
Bayford	2023-05-15T07:45:07Z	64.24
Hartin	2023-11-04T00:50:48Z	503.59
McGarel	2021-08-26T15:42:38Z	395.95
De-Ville	2023-07-01T07:51:29Z	488.4
Ewbank	2020-12-19T09:49:02Z	395.84
Cropper	2022-07-12T09:03:49Z	178.61
Truckett	2021-11-09T13:53:42Z	324.04
Gribbins	2021-09-01T09:45:12Z	332.22
MacCrackan	2021-06-29T04:42:03Z	504.77
Duncan	2021-07-15T07:33:50Z	144.23
Benoey	2022-05-29T19:12:43Z	837.17
O'Bradane	2021-04-07T00:07:42Z	737.19
Zarb	2023-06-30T13:39:13Z	192.99
Scouller	2020-12-20T21:10:58Z	259.89
Scouller	2023-02-14T10:19:20Z	958.34
Cropper	2021-12-01T13:28:34Z	831.11
Harbottle	2021-06-09T19:34:15Z	83.81
Lorek	2022-06-08T04:21:41Z	530.04
Retallack	2021-12-20T18:36:02Z	594.48
Hazeldene	2021-12-15T09:57:10Z	147.56
Youthed	2023-08-29T01:18:48Z	192.18
Truckett	2021-02-14T22:03:10Z	861.14
Wake	2022-04-14T07:24:58Z	836.31
Worvell	2023-10-27T11:23:11Z	415.46
Russi	2022-08-02T09:02:40Z	89.53
Bauchop	2021-09-19T05:59:26Z	184.15
Brophy	2021-10-31T12:02:57Z	589.16
Gothard	2021-02-07T01:37:59Z	787.61
Molian	2023-01-26T21:56:41Z	749.82
Levens	2022-12-21T14:11:05Z	156.33
Bunclark	2022-07-29T09:01:44Z	756.43
Kemet	2022-05-18T12:11:04Z	734.63
Machel	2021-05-30T14:49:39Z	20.28
Lapidus	2023-02-24T01:45:27Z	157.31
Grizard	2020-12-31T13:15:23Z	689.35
Kernell	2023-07-28T18:46:35Z	230.09
Sprague	2022-11-18T05:42:58Z	257.01
Peasegod	2022-03-19T08:04:15Z	875.81
De Bruin	2021-03-07T01:51:23Z	946.46
Roarty	2021-12-27T21:48:29Z	383.25
Fright	2021-08-19T11:08:41Z	609.08
Russi	2023-02-03T14:24:38Z	718.85
Banck	2023-03-07T18:03:27Z	848.12
Matveiko	2022-07-15T03:04:31Z	494.49
Duffil	2022-07-19T16:55:07Z	305.38
Bennison	2023-08-16T11:01:55Z	492.03
Aulds	2021-09-03T19:41:09Z	548.21
MacFaul	2023-04-23T01:09:21Z	249.25
Gosker	2023-05-04T17:51:27Z	349.19
Bayford	2021-06-12T16:26:54Z	982.31
Batterbee	2022-04-26T17:56:57Z	31.03
Vertey	2023-11-11T21:29:31Z	261.85
McOwan	2023-01-01T01:04:01Z	596.99
Kernell	2021-01-01T11:17:28Z	649.64
Algore	2022-01-05T15:51:41Z	704.76
Scouller	2021-07-18T16:17:00Z	794.54
Garcia	2021-06-13T00:37:20Z	997.11
Horlock	2022-08-02T08:47:34Z	904.94
Minihane	2021-10-02T18:45:38Z	582.61
Abbotts	2021-08-26T03:10:56Z	807.75
Eagan	2023-01-21T07:50:05Z	75.74
Colvin	2022-05-12T14:25:03Z	788.77
McGraw	2021-08-18T08:03:42Z	149.69
Retallack	2021-08-16T18:21:27Z	987.94
Gomby	2023-02-14T23:00:58Z	691.48
Astin	2021-08-07T13:09:58Z	922.01
Minard	2023-02-21T03:09:57Z	613.22
Dugget	2021-10-04T06:13:15Z	525.38
Cahill	2022-12-25T22:25:22Z	575.33
Sopp	2023-03-21T19:48:47Z	717.76
Russi	2023-06-09T20:03:53Z	554.41
Stackbridge	2023-03-27T01:49:14Z	646.34
Vedekhin	2023-05-02T23:25:41Z	720.0
Kernell	2021-02-03T03:41:21Z	23.35
Schmidt	2023-05-14T21:58:46Z	177.68
Stoney	2021-07-13T10:37:52Z	203.58
Anglish	2021-08-29T10:39:38Z	838.26
Kaas	2021-12-15T04:23:56Z	513.31
L' Anglois	2022-12-03T23:44:40Z	661.82
Hazeldene	2022-04-28T18:59:13Z	605.53
Howood	2021-10-17T05:02:27Z	845.07
Kemet	2021-05-05T10:03:12Z	141.29
Rewan	2022-10-24T12:36:23Z	463.67
Gowar	2021-04-28T14:03:34Z	655.0
Barenskie	2021-11-09T06:01:11Z	959.25
O'Cullen	2023-06-13T04:13:43Z	496.47
Malling	2022-01-07T06:50:32Z	828.31
Terlinden	2023-02-19T15:04:48Z	55.04
Vaughton	2021-08-31T15:24:33Z	501.72
Rewan	2021-04-13T15:21:58Z	254.62
O'Cullen	2022-06-16T00:51:13Z	758.14
Olman	2023-10-24T06:42:53Z	119.33
Stoney	2021-08-31T14:36:16Z	770.87
Curran	2023-06-08T16:50:05Z	166.26
Dugget	2021-01-03T08:58:37Z	812.5
Batterbee	2021-09-18T14:38:24Z	902.08
Coultas	2022-11-20T04:39:27Z	699.67
Ovitz	2021-09-02T18:58:40Z	765.83
Huniwall	2021-06-13T01:48:43Z	388.24
Titterington	2021-05-04T20:58:45Z	808.98
Murrigans	2022-12-04T15:40:26Z	308.15
Wharmby	2023-02-21T17:11:47Z	440.23
Lehrmann	2023-10-07T06:44:38Z	253.73
Braidon	2022-09-11T16:15:20Z	31.18
Lefley	2022-05-06T02:17:07Z	162.28
Dooler	2022-07-05T00:59:41Z	409.7
Kedwell	2023-09-26T07:12:25Z	550.27
Kemet	2021-04-23T09:52:11Z	799.57
Colliford	2023-02-27T22:54:29Z	213.42
Murrigan	2022-02-13T12:13:12Z	97.96
Goodered	2021-02-16T07:40:06Z	878.71
Yockney	2021-10-16T21:11:19Z	765.13
Cocke	2023-07-15T06:57:30Z	616.39
McOwan	2020-12-31T07:46:41Z	372.29
Vertey	2021-07-03T22:43:04Z	973.78
Pettican	2023-01-11T16:36:53Z	634.12
Gribbins	2022-11-21T03:32:17Z	855.03
Rottgers	2022-03-30T09:25:54Z	254.0
Demeter	2023-06-13T05:08:23Z	212.61
Gantzer	2023-08-02T00:06:32Z	761.9
Dommerque	2021-08-29T13:34:59Z	386.71
Tchaikovsky	2022-05-03T20:56:39Z	43.58
Creamer	2023-10-20T19:48:44Z	9.49
MacFaul	2023-08-22T17:06:32Z	945.88
Vedekhin	2021-01-13T16:05:04Z	430.82
Schmidt	2021-05-18T02:20:27Z	258.02
De-Ville	2021-04-24T02:43:01Z	152.44
Truckett	2022-05-22T00:32:22Z	301.28
Hartin	2023-06-30T04:53:40Z	535.62
Eagan	2023-09-21T15:47:33Z	489.13
Harbottle	2023-08-01T23:48:15Z	155.71
Gianullo	2021-06-07T04:31:23Z	816.49
Scouller	2023-04-27T14:54:52Z	66.38
Chern	2021-12-31T12:01:55Z	112.59
Foggarty	2022-01-10T19:16:06Z	49.71
Machel	2021-04-09T10:38:44Z	998.4
Bennison	2023-08-15T18:48:05Z	16.13
Murrigan	2022-08-30T08:30:01Z	951.19
Curran	2021-03-02T05:29:33Z	197.8
Dooler	2022-02-12T09:41:25Z	19.25
Sutehall	2021-05-26T11:21:31Z	95.18
Abbotts	2023-07-25T20:32:42Z	688.95
Matveiko	2022-09-03T06:59:50Z	752.08
Vaughton	2020-12-27T05:23:31Z	436.78
Minard	2021-07-17T03:59:03Z	262.02
Lomb	2023-04-01T22:09:39Z	192.27
O' Dornan	2020-12-28T11:58:10Z	957.11
Roarty	2021-05-06T23:41:04Z	196.33
Hollington	2021-12-13T06:13:11Z	572.83
Redholes	2021-08-24T14:57:06Z	881.11
Gantzer	2021-11-16T04:23:51Z	373.24
L' Anglois	2022-03-30T06:59:53Z	155.22
De Gowe	2022-02-16T22:53:59Z	403.67
Scad	2021-07-07T01:13:53Z	326.95
Rivett	2023-10-25T20:56:42Z	647.66
Hamelyn	2021-09-28T05:08:00Z	314.01
Inwood	2023-04-13T11:14:54Z	978.11
Dommerque	2021-02-12T10:22:11Z	179.43
Dewes	2021-11-24T06:43:22Z	99.83
Karlowicz	2021-07-28T09:37:32Z	549.8
Terlinden	2021-10-13T08:49:05Z	303.2
O' Dornan	2022-01-14T17:54:40Z	498.82
Boffin	2022-10-26T13:48:56Z	891.2
Ruppert	2022-11-11T11:10:52Z	519.46
Stoney	2021-10-03T14:51:02Z	546.61
Whal	2022-12-04T17:43:18Z	503.5
Statham	2023-01-12T11:39:56Z	174.07
Cropper	2022-01-08T10:43:28Z	916.62
Mabee	2021-04-02T09:12:50Z	208.46
Banck	2022-07-12T07:59:12Z	566.54
Ahrend	2022-05-21T11:32:12Z	414.31
McLaughlan	2023-02-21T18:35:18Z	15.78
Delacourt	2023-01-08T13:59:35Z	731.76
Langridge	2022-07-07T02:04:06Z	607.14
Truckett	2023-10-23T10:43:12Z	863.13
Linguard	2022-02-08T10:25:13Z	838.05
Roarty	2021-10-27T19:37:28Z	654.51
Benoey	2023-03-10T00:47:56Z	271.46
Kinahan	2022-08-14T01:04:43Z	648.25
Dunsire	2023-08-08T12:15:27Z	237.0
Dewes	2022-01-13T08:22:13Z	436.13
Benoey	2021-10-27T15:55:01Z	627.81
Wharmby	2021-03-17T08:23:24Z	695.18
Bauchop	2023-04-25T22:43:30Z	426.5
Stroyan	2022-01-24T10:36:50Z	538.14
Eagan	2021-12-25T11:15:00Z	870.89
Algore	2023-05-05T06:43:41Z	711.81
Dooler	2021-09-26T04:50:36Z	517.59
Normant	2021-06-01T04:25:43Z	647.74
Roarty	2023-04-25T14:55:44Z	783.98
Meach	2022-04-06T05:02:33Z	218.11
McOwan	2023-09-23T12:57:21Z	512.1
Zanassi	2021-07-21T01:05:05Z	609.76
Sopp	2021-09-06T17:50:51Z	725.74
Henrichs	2023-03-30T05:28:09Z	250.71
De-Ville	2023-03-23T03:30:07Z	893.21
MacQueen	2023-04-03T05:04:28Z	173.5
Dugget	2023-10-07T11:44:39Z	259.33
Rivett	2022-03-24T10:20:58Z	841.51
Rogeron	2023-08-30T15:22:41Z	580.98
Horlock	2023-05-13T21:45:19Z	55.83
Stockwell	2023-04-10T18:16:50Z	658.49
Penhalurick	2023-04-10T02:06:43Z	63.13
MacCrackan	2023-07-16T12:36:42Z	659.99
Karlowicz	2023-10-28T15:52:57Z	418.87
Worvell	2023-10-15T05:14:17Z	226.86
Howood	2021-10-28T18:45:38Z	215.21
Mussettini	2021-10-09T03:47:44Z	308.84
Bellenger	2023-07-24T04:14:17Z	370.39
Fright	2022-06-10T15:07:24Z	132.98
Solley	2022-11-09T11:23:10Z	236.5
De-Ville	2023-05-17T14:01:56Z	43.03
Huniwall	2023-10-06T08:00:39Z	970.49
Spawforth	2022-08-15T20:43:17Z	221.11
Molian	2023-04-07T04:01:10Z	505.43
McIntee	2023-07-29T02:53:47Z	445.08
Kemet	2023-01-26T21:55:56Z	443.42
Gontier	2022-08-11T23:56:06Z	287.42
Gritsunov	2022-11-10T03:47:35Z	527.96
Stroyan	2021-05-21T07:00:09Z	524.74
Retallack	2023-09-05T06:54:15Z	679.19
Fright	2021-06-02T08:27:58Z	323.29
Gritsunov	2022-11-02T10:58:43Z	138.64
Zanassi	2023-03-06T10:01:48Z	872.51
Wake	2022-01-20T02:27:09Z	715.68
Zarb	2023-02-25T07:10:42Z	236.86
Mound	2021-11-23T03:55:28Z	810.35
Dommerque	2023-01-21T23:22:56Z	357.08
Sopp	2021-03-12T06:20:27Z	323.79
Rewan	2021-02-19T06:00:57Z	901.76
Sieve	2021-06-22T07:25:39Z	663.2
Schmidt	2023-05-20T08:46:03Z	567.05
McGeachey	2021-03-20T05:17:25Z	227.98
Godfrey	2022-01-12T14:26:45Z	774.96
Shorton	2023-08-28T17:29:40Z	125.58
Van	2021-09-25T15:44:50Z	979.59
Duffil	2022-10-21T19:58:39Z	839.47
Curran	2021-01-26T12:11:21Z	778.25
Normant	2023-05-08T16:05:52Z	170.15
Godfrey	2021-06-05T22:05:45Z	82.66
Kinforth	2022-05-24T08:32:09Z	437.93
Rogeron	2022-12-06T18:39:30Z	200.21
Shorton	2021-06-19T17:10:49Z	396.39
Colvin	2022-09-20T05:00:44Z	13.54
Wake	2022-09-10T06:35:55Z	972.32
Madeley	2021-02-08T12:16:48Z	293.35
Walton	2023-10-30T16:05:18Z	170.7
Retallack	2021-07-31T09:05:40Z	834.34
Mabee	2021-05-02T19:21:27Z	234.93
Dyerson	2023-01-23T17:26:25Z	137.95
Whal	2023-08-04T08:52:57Z	66.62
Banck	2021-06-21T10:29:31Z	873.34
Godfrey	2022-11-21T03:15:10Z	964.17
McLaughlan	2023-04-12T15:06:53Z	141.36
Shorton	2023-05-23T04:04:36Z	138.21
Cropper	2023-05-13T09:22:33Z	205.82
Hamelyn	2023-05-31T18:10:45Z	785.4
Matveiko	2021-02-13T11:04:01Z	518.52
Coulthard	2021-06-20T20:46:48Z	164.89
Wakefield	2022-01-02T05:31:34Z	142.48
Ades	2022-01-26T08:30:42Z	1.27
Picott	2022-01-21T19:34:50Z	222.2
Izakson	2023-10-03T08:10:34Z	387.15
Cropper	2022-02-10T06:10:25Z	910.41
Russi	2021-08-03T14:08:10Z	298.67
Comolli	2021-04-17T21:38:15Z	16.49
Boffin	2022-08-02T19:53:26Z	660.13
Renneke	2021-05-13T14:28:17Z	184.75
Grizard	2021-01-21T15:43:39Z	130.48
Dugget	2021-11-26T19:21:05Z	128.44
Gantzer	2021-12-13T08:22:54Z	855.91
Ruppert	2021-10-22T12:40:09Z	965.36
Mordy	2023-05-14T16:23:46Z	747.03
MacWhan	2022-10-06T04:00:51Z	112.35
Sporton	2023-03-15T02:57:31Z	746.53
Garcia	2022-12-13T23:01:10Z	434.18
Batterbee	2023-03-30T00:27:15Z	123.84
Colvin	2022-07-07T19:27:39Z	269.61
Lomb	2022-09-17T00:49:40Z	240.08
Peasegod	2023-07-21T18:32:00Z	131.97
Heaslip	2023-10-15T03:52:11Z	10.68
Gianullo	2023-09-25T09:30:03Z	422.81
Creamer	2023-06-08T06:26:09Z	891.74
Gowar	2022-01-31T04:11:57Z	366.87
Sprague	2023-05-20T13:18:26Z	807.81
Vaughton	2022-11-15T22:47:52Z	589.33
Godfrey	2023-03-30T21:10:17Z	151.45
Wolfarth	2022-05-08T12:04:00Z	679.44
Episcopio	2022-03-18T03:16:44Z	995.91
Eagan	2022-09-27T09:20:17Z	969.99
Croson	2022-08-07T23:21:58Z	730.62
Cossington	2022-02-04T03:24:35Z	554.41
Wedge	2021-09-30T02:03:28Z	524.56
Meach	2021-04-28T16:29:59Z	99.18
Shorton	2021-02-25T14:09:16Z	585.94
McOwan	2022-09-09T03:46:00Z	225.78
Braidon	2022-01-27T13:49:36Z	212.62
Kaas	2023-05-29T13:16:48Z	210.25
Rustman	2023-07-24T15:16:55Z	346.3
Mabee	2023-02-16T06:54:34Z	920.88
